Name,OPS+
"Maag, Alec",134
"Cipri, Anthony",113
"Olson, Kyle",119
"Wishner, Jack",87
"Feliz, Tim",99
"Draskin, Michael",115
"Ramos, Albert",86
"Rende, Alex",107
"Catuosco, Johnny",91
"Pellegrino, Joe",128
"Bohne, L.J.",76
"D'Aguanno, Phillip",77
"Johnson, Cooper",73
BrendanEdvardsen,143
CameronFitzgerald,119
ChadLavelle,96
RyanLavelle,104
TylerZiemak,89
MichaelCruz,96
YeudyRamirez,88
ConnorDaly,76
KyleLeifert,71
CarlosPena,75
AustinBequeath,70
RichieSegura,71
JosephLynch,11
"Berardino, Jared",129
"Hamel, Jake",104
"Barry, Jack",113
"Rabias, Christopher",97
"Wironen, Connor",95
"Durkan, Cole",96
"Podolec, Owen",97
"Smith, Cody",74
"Giarnese, Eric",70
StanDeMartinisIII,133
EddyBeauregard,124
SteveRizzuto,109
LiamSears,118
TimZupkus,114
TylerGonzalez,102
PatrickPurcell,99
JoeCacciatore,82
CoryBright,96
KyleHalloran,81
JoseSavinon,147
JulienMonks,124
HunterWilichoski,120
EliBattipaglia,107
ThomasDillon,105
"Roden, Dewey",125
"Keneston, Brody",121
"Carroll, Drew",101
"Nevins, Nick",107
"Patchett, Wyatt",116
"Brush, Zach",93
"Sullivan, Adam",118
"Boule, Jason",78
"Fureno, Brady",77
"Cain, Andrew",131
"Pincince, Owen",104
"Lester, Josh",98
"Budzik, Noah",99
"Franquiz, Kenneth",91
"Wells, Tyler",90
"Maucere, Cole",71
"Callahan, Shaun",118
"McIntire, Matt",136
"Pincince, Zack",105
"Baronian, Mason",108
"McCabe, Mitchell",124
"Labita, Anthony",109
"Miller, Josh",100
"Jacobi, Luke",89
"Resetar, Cole",115
"Caffrey, Robbie",83
"Rivara, Luke",81
"Williams, Richie",81
"Doran, Brady",104
"Borrelli, Mike",102
"Collins, Matt",93
"Pierro, Mike",95
"Clough, Zack",76
"Panarello, Will",102
"Scolaro, Daniel",80
nan,82
nan,92
nan,87
nan,97
nan,98
nan,63
nan,69
nan,60
nan,62
nan,33
nan,101
nan,28
"Myers, Josh",113
"Griffin, Jack",101
"McGee, Ryan",86
"Deo, Ryan",83
"Nazzaro, Michael",73
"Fowler, Jaden",87
"Vaughn, Zephaniah",85
"Toms, Nathan",67
"Butkowski, Sean",66
"Casey, Collin",53
"Sullivan, Billy ",113
"Goggin, Connor ",132
"Ferrett, Mike",107
"Drewry, Jack",93
"Jagello, Derrick",81
"Bedryczuk, Zach",78
"Fedeli, Chad ",77
"Healy, Zack ",123
"Walker, Izaiah",67
"Schwartz, Nick",152
"Rivera, Danniel",133
"La Rocca, Mike",133
"Caraher, Cam",139
"Wouters, Dyrenson",95
"Mercedes, Cristian",105
"O'Sullivan, Dylan",143
"Risedorf, Jake",126
"Pisano, Jake",147
"Chacho, John",110
"Passey, Gabe",80
"Ranney, Zachary",68
